id_terraza,id_local,id_distrito_local,desc_distrito_local,id_barrio_local,desc_barrio_local,id_ndp_edificio,id_clase_ndp_edificio,id_vial_edificio,clase_vial_edificio,desc_vial_edificio,nom_edificio,num_edificio,Cod_Postal,coordenada_x_local,coordenada_y_local,id_tipo_acceso_local,desc_tipo_acceso_local,id_situacion_local,desc_situacion_local,secuencial_local_PC,Escalera,id_planta_agrupado,id_local_agrupado,coordenada_x_agrupacion,coordenada_y_agrupacion,rotulo,id_periodo_terraza,desc_periodo_terraza,id_situacion_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,Fecha_confir_ult_decreto_resol,id_ndp_terraza,id_clase_ndp_terraza,ID_VIAL,DESC_CLASE,DESC_NOMBRE,nom_terraza,num_terraza,cal_terraza,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_aux_es,mesas_aux_ra,mesas_es,mesas_ra,sillas_es,sillas_ra
1307,270469265,10,LATINA              ,1007,LAS AGUILAS         ,20098368,1,2504,CALLE                   ,GUAREÑA                                           ,NUM,10,28044,43498162,447110157,1,Puerta Calle,1,Abierto,20,NA,PB,NA,NA,NA,PASSAPAROLA,2,Estacional,1,Abierta,312,NA,42016,20098368,1,2504,CALLE                   ,GUAREÑA                                           ,NUM,10,  ,Acera,0.416666667,0.041666667,NA,NA,0.416666667,0.104166667,NA,NA,0,NA,9,NA,34,NA
1308,40000599,4,SALAMANCA           ,402,GOYA                ,11015583,1,292500,CALLE                   ,FERNAN GONZALEZ                                   ,NUM,7,28009,44281858,44750725,1,Puerta Calle,1,Abierto,20,NA,PB,NA,NA,NA,LE PETIT PRINCIPE,1,Anual,1,Abierta,216,216,42016,11015583,1,292500,CALLE                   ,FERNAN GONZALEZ                                   ,NUM,7,  ,Calle peatonal,0.416666667,0.041666667,0.416666667,0,0.416666667,0.104166667,0.416666667,0,0,0,6,6,24,NA
1311,280057866,13,PUENTE DE VALLECAS  ,1303,PALOMERAS BAJAS     ,11095036,1,144000,CALLE                   ,CARLOS MARTIN ALVAREZ                             ,NUM,25,28018,44369256,447119549,1,Puerta Calle,1,Abierto,60,NA,PB,NA,NA,NA,FARMACIA ORTOPEDIA,2,Estacional,1,Abierta,168,NA,42016,11095036,1,144000,CALLE                   ,CARLOS MARTIN ALVAREZ                             ,NUM,25,  ,Acera,0.416666667,0.041666667,NA,NA,0.416666667,0.104166667,NA,NA,0,NA,3,NA,6,NA
1314,20000320,2,ARGANZUELA          ,202,ACACIAS             ,11008625,1,274600,PASEO                   ,ESPERANZA                                         ,NUM,21,28005,44023259,447251053,1,Puerta Calle,1,Abierto,10,NA,PB,NA,NA,NA,BURGER KING,1,Anual,1,Abierta,939,60,42016,11008625,1,274600,PASEO                   ,ESPERANZA                                         ,NUM,21,  ,Acera,0.333333333,0.0625,0.333333333,0.041666667,0.333333333,0.0625,0.333333333,0.041666667,0,0,14,30,56,NA
1316,20000462,2,ARGANZUELA          ,202,ACACIAS             ,11010590,1,69800,CALLE                   ,ARGANDA                                           ,NUM,2,28005,43981559,447227453,1,Puerta Calle,1,Abierto,10,NA,PB,NA,NA,NA,EUROBAR COPPOLA,1,Anual,1,Abierta,6078,3198,42016,20007458,1,801200,PASEO                   ,YESERIAS                                          ,NUM,27,  ,Acera,0.416666667,0.041666667,0.416666667,0,0.416666667,0.104166667,0.416666667,0,0,0,18,10,72,NA
1317,270322927,2,ARGANZUELA          ,202,ACACIAS             ,11008386,1,801200,PASEO                   ,YESERIAS                                          ,NUM,45,28005,44005759,447213853,1,Puerta Calle,1,Abierto,30,NA,PB,NA,NA,NA,RESTAURANTE OVIEDO,1,Anual,1,Abierta,693,693,42016,11008386,1,801200,PASEO                   ,YESERIAS                                          ,NUM,45,  ,Zona de estacionamiento,0.333333333,0.0625,0.333333333,0.0625,0.333333333,0.0625,0.333333333,0.0625,0,0,13,10,46,NA
1321,200001110,20,SAN BLAS-CANILLEJAS ,2001,SIMANCAS            ,20072654,1,422000,CALLE                   ,JULIAN CAMARILLO                                  ,NUM,29,28037,44662556,447617645,1,Puerta Calle,1,Abierto,20,NA,PB,NA,NA,NA,EL HORNO,1,Anual,1,Abierta,117,9,42016,20072651,1,696300,CALLE                   ,SANTA LEONOR                                      ,NUM,57, D,Acera,0.333333333,0,0.333333333,0,0.333333333,0,0.333333333,0,0,0,5,5,15, A
1323,40001647,4,SALAMANCA           ,402,GOYA                ,11015049,1,206100,CALLE                   ,CONDE DE PEÑALVER                                 ,NUM,35,28006,44268858,44755085,1,Puerta Calle,1,Abierto,20,NA,PB,NA,NA,NA,LIZARRAN,1,Anual,1,Abierta,1837,1837,42016,11015049,1,206100,CALLE                   ,CONDE DE PEÑALVER                                 ,NUM,35,  ,Acera,0.416666667,0.041666667,0.416666667,0,0.416666667,0.104166667,0.416666667,0,0,0,6,6,23,NA
1325,270475461,4,SALAMANCA           ,406,CASTELLANA          ,11020200,1,441300,CALLE                   ,LOPEZ DE HOYOS                                    ,NUM,10,28006,44171259,447647752,1,Puerta Calle,1,Abierto,40,NA,PB,NA,NA,NA,PANELA & CO,1,Anual,1,Abierta,878,878,42016,11020200,1,441300,CALLE                   ,LOPEZ DE HOYOS                                    ,NUM,10,  ,Acera,0.416666667,0.958333333,0.416666667,0,0.416666667,0.958333333,0.416666667,0,0,0,5,5,10,NA
1326,285020650,12,USERA               ,1201,ORCASITAS           ,11080678,1,631425,CALLE                   ,RANCHO                                            ,NUM,9,28041,43983957,446910852,1,Puerta Calle,1,Abierto,20,NA,PB,NA,NA,NA,BAR-CAFETERÍA-CHURRERIA,1,Anual,1,Abierta,6819,6819,42016,11080678,1,631425,CALLE                   ,RANCHO                                            ,NUM,9,  ,Acera,0.416666667,0.041666667,0.416666667,0,0.416666667,0.104166667,0.416666667,0,0,0,22,22,67,NA
1327,280011502,1,CENTRO              ,106,SOL                 ,11007492,1,276100,CALLE                   ,ESPOZ Y MINA                                      ,NUM,3,28012,44042759,447418553,1,Puerta Calle,1,Abierto,50,NA,PB,NA,NA,NA,LAS  BRAVAS,1,Anual,1,Abierta,1854,1854,42016,20006718,1,495200,PASAJE                  ,MATHEU                                            ,NUM,1,  ,Calle peatonal,0.416666667,0,0.416666667,0.958333333,0.416666667,0.0625,0.416666667,0.958333333,0,0,6,6,23,NA
1328,280011721,1,CENTRO              ,106,SOL                 ,11007690,1,498000,PLAZA                   ,MAYOR                                             ,NUM,2,28012,44001459,447406253,1,Puerta Calle,1,Abierto,20,NA,PB,NA,NA,NA,EN COPA DE BALON,1,Anual,1,Abierta,9023,9023,42016,11007690,1,498000,PLAZA                   ,MAYOR                                             ,NUM,2,  ,Plaza peatonal,0.416666667,0.041666667,0.416666667,0.958333333,0.416666667,0.0625,0.416666667,0.958333333,2,2,27,27,99,NA
1329,280009757,1,CENTRO              ,104,JUSTICIA            ,11004716,1,81800,CALLE                   ,AUGUSTO FIGUEROA                                  ,NUM,33,28004,44079859,447488553,1,Puerta Calle,1,Abierto,50,NA,PB,NA,NA,NA,RODILLA,1,Anual,1,Abierta,1944,1944,42016,11004715,1,230900,PLAZA                   ,CHUECA                                            ,NUM,1,  ,Plaza peatonal,0.416666667,0,0.416666667,0.958333333,0.416666667,0.0625,0.416666667,0.958333333,0,0,6,6,24,NA
1330,280011957,1,CENTRO              ,106,SOL                 ,20007100,1,670500,PLAZA                   ,SAN GINES                                         ,NUM,1,28013,44001359,447423453,1,Puerta Calle,1,Abierto,20,NA,PB,NA,NA,NA,LA CARBONERIA,1,Anual,1,Abierta,288,288,42016,20007076,1,200600,CALLE                   ,COLOREROS                                         ,NUM,5,  ,Acera,0.416666667,0.020833333,0.416666667,0.958333333,0.416666667,0.0625,0.416666667,0.958333333,0,0,2,2,4,NA
1332,10002357,1,CENTRO              ,102,EMBAJADORES         ,11003120,1,264800,PLAZA                   ,EMPERADOR CARLOS V                                ,NUM,9,28012,44121958,447335552,1,Puerta Calle,1,Abierto,20,NA,PB,NA,NA,NA,100 MONTADITOS,1,Anual,1,Abierta,3978,3978,42016,11003120,1,264800,PLAZA                   ,EMPERADOR CARLOS V                                ,NUM,9,  ,Acera,0.416666667,0.041666667,0.416666667,0.958333333,0.416666667,0.104166667,0.416666667,0.958333333,0,0,12,12,46,NA
1333,280010459,1,CENTRO              ,105,UNIVERSIDAD         ,11005645,1,313100,CALLE                   ,FUENCARRAL                                        ,NUM,43,28004,44052259,447495753,1,Puerta Calle,1,Abierto,70,NA,PB,NA,NA,NA,LLAOLLAO,1,Anual,1,Abierta,432,432,42016,11005645,1,313100,CALLE                   ,FUENCARRAL                                        ,NUM,43,  ,Plaza peatonal,0.416666667,0.041666667,0.416666667,0,0.416666667,0.104166667,0.416666667,0,0,0,3,3,6,NA
1335,280010390,1,CENTRO              ,105,UNIVERSIDAD         ,11005486,1,313100,CALLE                   ,FUENCARRAL                                        ,NUM,93,28004,44047759,447537353,1,Puerta Calle,1,Abierto,30,NA,PB,NA,NA,NA,PIZZA PITA,1,Anual,1,Abierta,1805,1805,42016,11005486,1,313100,CALLE                   ,FUENCARRAL                                        ,NUM,93,  ,Plaza peatonal,0.375,0.979166667,0.375,0.958333333,0.375,0.020833333,0.375,0.958333333,0,0,4,4,9,NA
